Country or Area;Year;Quantity
Albania;2014;1007.22
Albania;2013;1167.0
Albania;2012;920.07
Albania;2011;597.81
Albania;2010;586.47
Albania;2009;221.23
Albania;2008;240.2
Albania;2007;244.0
Albania;2006;63.0
Albania;2005;0.0
Albania;2004;0.0
Algeria;2014;23550.0
Algeria;2013;28130.0
Algeria;2012;31881.0
Algeria;2011;32424.0
Algeria;2010;32974.0
Algeria;2009;34731.0
Algeria;2008;39179.0
Algeria;2007;43248.0
Algeria;2006;43954.0
Algeria;2005;44940.0
Algeria;2004;41280.0
Algeria;2003;33725.0
Algeria;2002;25420.0
Algeria;2001;19583.0
Algeria;2000;20561.0
Algeria;1999;19289.0
Algeria;1998;19294.0
Algeria;1997;17280.0
Algeria;1996;18171.0
Algeria;1995;15417.0
Algeria;1994;15469.0
Algeria;1993;14289.0
Algeria;1992;15634.0
Algeria;1991;16182.0
Algeria;1990;14007.0
Angola;2014;81274.0
Angola;2013;83510.0
Angola;2012;83371.0
Angola;2011;78947.0
Angola;2010;85997.0
Angola;2009;88622.0
Angola;2008;92469.0
Angola;2007;82943.0
Angola;2006;67934.0
Angola;2005;60302.0
Angola;2004;47105.0
Angola;2003;41430.0
Angola;2002;42668.0
Angola;2001;34367.0
Angola;2000;34310.0
Angola;1999;34448.0
Angola;1998;34386.0
Angola;1997;32723.0
Angola;1996;30794.0
Angola;1995;28065.0
Angola;1994;25500.0
Angola;1993;23700.0
Angola;1992;25000.0
Angola;1991;23250.0
Angola;1990;22000.0
Argentina;2014;1979.0
Argentina;2013;1932.0
Argentina;2012;3080.0
Argentina;2011;3057.0
Argentina;2010;2861.0
Argentina;2009;4680.0
Argentina;2008;2835.0
Argentina;2007;2922.0
Argentina;2006;4495.0
Argentina;2005;7653.0
Argentina;2004;9013.0
Argentina;2003;11802.0
Argentina;2002;13683.0
Argentina;2001;14767.0
Argentina;2000;14249.0
Argentina;1999;13817.0
Argentina;1998;16496.0
Argentina;1997;17104.0
Argentina;1996;16691.0
Argentina;1995;13920.0
Argentina;1994;10467.0
Argentina;1993;4454.0
Argentina;1992;3042.0
Argentina;1991;1272.0
Argentina;1990;917.0
Australia;2014;11099.0
Australia;2013;11715.0
Australia;2012;13021.0
Australia;2011;14826.0
Australia;2010;13661.0
Australia;2009;12503.0
Australia;2008;11654.0
Australia;2007;11698.0
Australia;2006;9409.0
Australia;2005;11389.0
Australia;2004;12973.0
Australia;2003;15556.0
Australia;2002;19128.0
Australia;2001;19421.0
Australia;2000;15338.0
Australia;1999;9906.0
Australia;1998;10551.0
Australia;1997;8866.0
Australia;1996;8059.0
Australia;1995;8704.0
Australia;1994;7153.0
Australia;1993;7812.0
Australia;1992;7035.0
Australia;1991;7210.0
Australia;1990;5348.0
Austria;2001;63.0
Austria;2000;61.0
Austria;1999;51.0
Austria;1998;44.0
Austria;1997;25.0
Austria;1996;51.0
Azerbaijan;2014;32903.0
Azerbaijan;2013;34260.0
Azerbaijan;2012;34728.0
Azerbaijan;2011;37268.0
Azerbaijan;2010;42659.0
Azerbaijan;2009;44332.0
Azerbaijan;2008;36858.0
Azerbaijan;2007;34780.0
Azerbaijan;2006;24820.0
Azerbaijan;2005;14296.0
Azerbaijan;2004;9048.0
Azerbaijan;2003;8997.0
Azerbaijan;2002;8881.0
Azerbaijan;2001;8462.0
Azerbaijan;2000;5638.0
Azerbaijan;1999;5684.0
Azerbaijan;1998;1903.0
Azerbaijan;1997;233.0
Azerbaijan;1996;0.0
Azerbaijan;1995;0.0
Azerbaijan;1994;0.0
Bahrain;2014;7693.0
Bahrain;2013;7120.0
Bahrain;2012;6649.0
Bahrain;2011;7475.0
Bahrain;2010;7524.0
Bahrain;2009;7579.0
Bahrain;2008;7442.0
Bahrain;2007;7369.0
Bahrain;2006;7393.0
Bahrain;2005;7496.0
Bahrain;2004;7510.0
Bahrain;1990;0.0
Barbados;2014;29.0
Barbados;2013;34.3
Barbados;2012;37.6
Barbados;2011;39.8
Barbados;2010;42.2
Barbados;2009;38.3
Barbados;2008;39.5
Barbados;2007;46.0
Barbados;2006;49.863
Barbados;2005;63.377
Barbados;2004;63.377
Barbados;2003;63.377
Barbados;2002;80.0
Barbados;2001;63.0
Barbados;2000;77.0
Barbados;1999;99.0
Barbados;1998;69.0
Belarus;2014;1617.0
Belarus;2013;1619.0
Belarus;2012;1645.0
Belarus;2011;1676.0
Belarus;2010;0.0
Belarus;2009;1716.0
Belarus;2008;1453.0
Belarus;2007;851.0
Belarus;2006;1138.0
Belarus;2005;1346.0
Belarus;2004;1051.0
Belarus;2003;801.0
Belarus;2002;601.0
Belarus;2001;401.0
Belarus;2000;351.0
Belarus;1999;350.0
Belarus;1998;382.0
Belarus;1997;400.0
Belarus;1996;300.0
Belarus;1995;200.0
Belarus;1994;250.0
Belarus;1993;284.0
Belarus;1992;1058.0
Belize;2014;88.701277
Belize;2013;100.844917
Belize;2012;132.025437
Belize;2011;192.349835
Belize;2010;206.690307
Belize;2009;192.437352
Belize;2008;172.539007
Belize;2007;144.165485
Belize;2006;112.6
Benin;2000;35.0
Benin;1999;49.0
Benin;1998;49.0
Benin;1997;90.0
Benin;1996;112.0
Benin;1995;130.0
Benin;1994;177.0
Benin;1993;210.0
Benin;1992;128.0
Benin;1991;185.0
